id,type,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,will
13,3,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,29,1,8,5,6,1,1990,8,4,4,3,25,10,13,20,0,1
45,1,81.49,81.97,85.17,81.45,81,83.6,84.44,73.66,2,48,1,15,3,1,1,1971,5,25,4,9,60,50,40,0,0,1
72,2,88.54,83.93,85.17,92.56,87.79,77.77,88.87,84.77,2,14,2,8,5,6,1,1987,5,10,6,6,29,14,26,0,0,1
79,2,82.47,82.26,81.56,85.19,80.84,77.77,86.79,81.87,2,36,1,3,3,5,1,1984,4,14,4,2,38,20,27,0,0,1
91,2,90.39,88.92,88.92,92.14,88.87,94.7,91.18,88.87,2,28,1,6,2,3,0,1990,6,5,6,4,23,18,20,0,0,1
158,2,86.89,81.5,70.44,81.03,83.85,83.06,84.49,85.54,1,10,3,4,4,5,1,1987,6,10,4,7,40,12,36,14,6,1
177,2,88.92,88.92,88.92,88.88,88.87,88.88,88.88,88.87,1,20,1,8,5,6,1,1990,6,8,7,9,25,9,16,0,0,1
210,2,89.11,82.63,88.92,81.45,80.84,80.52,82.16,77.34,2,30,1,7,5,6,1,1990,6,6,4,2,30,12,10,0,13,1
215,2,80.77,82.26,81.56,85.19,84.02,77.77,82.15,78.19,2,40,1,13,3,5,1,1980,5,17,7,9,60,55,40,0,0,1
217,2,83.52,85.63,81.56,81.45,85.79,86.14,84.49,84.77,2,35,1,15,4,5,2,1985,5,15,2,2,40,25,25,0,0,1
230,2,81.69,77.8,81.56,81.03,85.63,86.14,80.05,88.87,2,33,1,8,6,6,2,1987,6,9,5,3,30,18,12,0,0,1
242,2,84.32,79.83,81.56,81.93,87.09,83.06,80.07,81.44,2,32,1,7,5,6,1,1988,6,8,3,9,28,17,11,0,0,1
246,2,85.04,85.63,81.56,92.14,88.71,86.14,84.31,84.77,2,35,1,10,4,6,2,1985,5,13,3,2,25,10,20,0,0,1
248,2,85.04,81.97,81.56,85.19,85.79,86.14,82.21,81.09,2,30,1,8,4,3,2,1990,5,8,5,2,22,9,17,0,0,1
266,2,83.93,85.63,85.17,84.72,88.87,83.6,82.16,84.77,2,32,1,12,5,6,2,1988,6,10,3,3,33,21,17,0,0,1
271,2,82.41,82.07,81.56,81.03,85.85,83.6,84.49,81.87,1,10,1,2,3,5,1,1980,5,15,9,11,30,25,26,0,0,1
302,2,88.92,85.91,85.17,88.88,79.54,83.6,77.77,88.87,1,30,1,8,1,1,0,1990,6,8,4,3,19,7,13,0,0,1
322,2,86.7,85.63,88.92,81.93,85.85,85.81,86.6,74.86,2,8,2,6,3,2,0,1989,5,6,8,10,30,25,20,10,10,1
330,2,85.37,84.1,85.17,81.93,85.79,86.14,82.16,85.54,1,13,2,9,2,3,0,1989,6,9,7,9,70,60,50,10,10,1
